year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party_detailed,writein,mode,candidatevotes,totalvotes,unofficial,version,party_simplified
2020,COLORADO,CO,8,84,62,US SENATE,statewide,gen,FALSE,MICHAEL SANCHEZ,UNAFFILIATED,FALSE,total,5,3235790,FALSE,20210114,OTHER
2020,DELAWARE,DE,10,51,11,US SENATE,statewide,gen,FALSE,CHRISTOPHER A. COONS,DEMOCRAT,FALSE,total,291804,490935,FALSE,20210114,DEMOCRAT
2020,DELAWARE,DE,10,51,11,US SENATE,statewide,gen,FALSE,LAUREN WITZKE,REPUBLICAN,FALSE,total,186054,490935,FALSE,20210114,REPUBLICAN
2020,DELAWARE,DE,10,51,11,US SENATE,statewide,gen,FALSE,MARK W. TURLEY,INDEPENDENT PARTY OF DELAWARE,FALSE,total,7833,490935,FALSE,20210114,OTHER
2020,DELAWARE,DE,10,51,11,US SENATE,statewide,gen,FALSE,NADINE M. FROST,LIBERTARIAN,FALSE,total,5244,490935,FALSE,20210114,LIBERTARIAN
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,FALSE,DAVID A. PERDUE,REPUBLICAN,FALSE,total,2462617,4952175,FALSE,20210114,REPUBLICAN
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,FALSE,JON OSSOFF,DEMOCRAT,FALSE,total,2374519,4952175,FALSE,20210114,DEMOCRAT
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,FALSE,SHANE HAZEL,LIBERTARIAN,FALSE,total,115039,4952175,FALSE,20210114,LIBERTARIAN
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,AL BARTELL,INDEPENDENT,FALSE,total,14640,4914361,FALSE,20210114,OTHER
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,ALLEN BUCKLEY,INDEPENDENT,FALSE,total,17954,4914361,FALSE,20210114,OTHER
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,DOUG COLLINS,REPUBLICAN,FALSE,total,980454,4914361,FALSE,20210114,REPUBLICAN
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,JOHN FORTUIN,GREEN,FALSE,total,15293,4914361,FALSE,20210114,OTHER
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,DERRICK E. GRAYSON,REPUBLICAN,FALSE,total,51592,4914361,FALSE,20210114,REPUBLICAN
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,MICHAEL TODD GREENE,INDEPENDENT,FALSE,total,13293,4914361,FALSE,20210114,OTHER
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,ANNETTE DAVIS JACKSON,REPUBLICAN,FALSE,total,44335,4914361,FALSE,20210114,REPUBLICAN
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,DEBORAH JACKSON,DEMOCRAT,FALSE,total,324118,4914361,FALSE,20210114,DEMOCRAT
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,JAMESIA JAMES,DEMOCRAT,FALSE,total,94406,4914361,FALSE,20210114,DEMOCRAT
