name,office_sought,party_affiliation,office_level,district_type,body_text,total_emails_sent
Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,281,281
Kathy Ellis,U.S. House Missouri District 8,Democratic Party,Federal,Congress,123,123
Kathy Landing,U.S. House South Carolina District 1,Republican Party,Federal,Congress,18,18
Kathy Manning,U.S. House North Carolina District 6,Democratic Party,Federal,Congress,167,167
Katie Porter,U.S. House California District 45,Democratic Party,Federal,Congress,486,486
Katie Witt,U.S. House Utah District 1,Republican Party,Federal,Congress,35,35
Kelly Loeffler,U.S. Senate Georgia,Republican Party,Federal,State,271,271
Kelly Mitchell,U.S. House Indiana District 5,Republican Party,Federal,Congress,82,82
Ken Calvert,U.S. House California District 42,Republican Party,Federal,Congress,50,50
Kendall Qualls,U.S. House Minnesota District 3,Republican Party,Federal,Congress,79,79
Kendra Horn,U.S. House Oklahoma District 5,Democratic Party,Federal,Congress,17,17
Kent Abernathy,U.S. House Indiana District 5,Republican Party,Federal,Congress,21,21
Kevin Hern,U.S. House Oklahoma District 1,Republican Party,Federal,Congress,14,14
Kevin McCarthy,U.S. House California District 23,Republican Party,Federal,Congress,162,162
Kevin O'Connor,U.S. Senate Massachusetts,Republican Party,Federal,State,50,50
Kim Coleman,U.S. House Utah District 4,Republican Party,Federal,Congress,17,17
Kim Nelson,U.S. House South Carolina District 4,Democratic Party,Federal,Congress,38,38
Kim Olson,U.S. House Texas District 24,Democratic Party,Federal,Congress,1423,1423
Kimberly Graham,U.S. Senate Iowa,Democratic Party,Federal,State,75,75
Kiran Sreepada,U.S. House Tennessee District 7,Democratic Party,Federal,Congress,41,41
Knute Buehler,U.S. House Oregon District 2,Republican Party,Federal,Congress,99,99
Kojo Asamoa-Caesar,U.S. House Oklahoma District 1,Democratic Party,Federal,Congress,17,17
Kristina Lyke,U.S. House Michigan District 8,Republican Party,Federal,Congress,11,11
Kristine Schanbacher,U.S. House Illinois District 7,Democratic Party,Federal,Congress,41,41
Kristy Gnibus,U.S. House Pennsylvania District 16,Democratic Party,Federal,Congress,825,825
Lacy Johnson,U.S. House Minnesota District 5,Republican Party,Federal,Congress,52,52
Laura Loomer,U.S. House Florida District 21,Republican Party,Federal,Congress,155,155
Lauren Ashcraft,U.S. House New York District 12,Democratic Party,Federal,Congress,97,97
Lauren Boebert,U.S. House Colorado District 3,Republican Party,Federal,Congress,198,198
Lauren Underwood,U.S. House Illinois District 14,Democratic Party,Federal,Congress,488,488
Lee Griffin,U.S. House Pennsylvania District 12,Democratic Party,Federal,Congress,22,22
Lee Zeldin,U.S. House New York District 1,Republican Party,Federal,Congress,342,342
Leon Benjamin,U.S. House Virginia District 4,Republican Party,Federal,Congress,64,64
Linda O'Dell,U.S. House Michigan District 1,Democratic Party,Federal,Congress,24,24
Linda Sanchez,U.S. House California District 38,Democratic Party,Federal,Congress,140,140
Lindsey Boylan,U.S. House New York District 10,Democratic Party,Federal,Congress,87,87
Lindsey Graham,U.S. Senate South Carolina,Republican Party,Federal,State,638,638
Lindsey Simmons,U.S. House Missouri District 4,Democratic Party,Federal,Congress,51,51
Lisa Savage,U.S. Senate Maine,Maine Green Independent Party,Federal,State,87,87
Lisa Scheller,U.S. House Pennsylvania District 7,Republican Party,Federal,Congress,135,135
Lisa Sparks,U.S. House California District 45,Republican Party,Federal,Congress,29,29
Lisa Welch,U.S. House Texas District 12,Democratic Party,Federal,Congress,30,30
Lizzie Pannill Fletcher,U.S. House Texas District 7,Democratic Party,Federal,Congress,203,203
Lois Frankel,U.S. House Florida District 21,Democratic Party,Federal,Congress,36,36
Lorena Garcia,U.S. Senate Colorado,Democratic Party,Federal,State,93,93
Lori Trahan,U.S. House Massachusetts District 3,Democratic Party,Federal,Congress,52,52
Lou Correa,U.S. House California District 46,Democratic Party,Federal,Congress,18,18
Lovelynn Gwinn,U.S. House New York District 13,Republican Party,Federal,Congress,99,99
Lucy McBath,U.S. House Georgia District 6,Democratic Party,Federal,Congress,683,683
Luke Negron,U.S. House Pennsylvania District 18,Republican Party,Federal,Congress,11,11
Lulu Seikaly,U.S. House Texas District 3,Democratic Party,Federal,Congress,4571,4577
Lynda Bennett,U.S. House North Carolina District 11,Republican Party,Federal,Congress,21,21
Lynn Afendoulis,U.S. House Michigan District 3,Republican Party,Federal,Congress,123,127
Lynne Homrich,U.S. House Georgia District 7,Republican Party,Federal,Congress,23,23
Madeleine Dean,U.S. House Pennsylvania District 4,Democratic Party,Federal,Congress,144,144
Madison Cawthorn,U.S. House North Carolina District 11,Republican Party,Federal,Congress,118,118
Manny Sethi,U.S. Senate Tennessee,Republican Party,Federal,State,392,392
Marc Flores,U.S. House Texas District 18,Democratic Party,Federal,Congress,31,31
Marc Veasey,U.S. House Texas District 33,Democratic Party,Federal,Congress,68,68
Margaret Good,U.S. House Florida District 16,Democratic Party,Federal,Congress,978,978
Maria Elvira Salazar,U.S. House Florida District 27,Republican Party,Federal,Congress,126,126
Marie Newman,U.S. House Illinois District 3,Democratic Party,Federal,Congress,5994,5994
Marjorie Taylor Greene,U.S. House Georgia District 14,Republican Party,Federal,Congress,107,107
Mark Bauer,U.S. House Texas District 24,Independent,Federal,Congress,12,12
Mark Gonsalves,U.S. House Georgia District 7,Republican Party,Federal,Congress,54,54
Mark Kelly,U.S. Senate Arizona,Democratic Party,Federal,State,375,375
Mark Richardson,U.S. House Ohio District 3,Republican Party,Federal,Congress,11,11
Mark Takano,U.S. House California District 41,Democratic Party,Federal,Congress,321,321
Mark Warner,U.S. Senate Virginia,Democratic Party,Federal,State,187,187
Marquita Bradshaw,U.S. Senate Tennessee,Democratic Party,Federal,State,238,238
Martha McSally,U.S. Senate Arizona,Republican Party,Federal,State,604,604
"Mary Jennings ""M.J."" Hegar",U.S. Senate Texas,Democratic Party,Federal,State,3353,3354
Mary Miller,U.S. House Illinois District 15,Republican Party,Federal,Congress,22,22
Matt Mayberry,U.S. House New Hampshire District 1,Republican Party,Federal,Congress,49,49
Matt Mowers,U.S. House New Hampshire District 1,Republican Party,Federal,Congress,104,104
Matt Rosendale,U.S. House Montana At-large District,Republican Party,Federal,Congress,83,83
Mauricus Brown,U.S. House South Carolina District 5,Democratic Party,Federal,Congress,119,119
Max Rose,U.S. House New York District 11,Democratic Party,Federal,Congress,252,252
Maya Rockeymoore Cummings,U.S. House Maryland District 7,Democratic Party,Federal,Congress,33,33
Mckayla Wilkes,U.S. House Maryland District 5,Democratic Party,Federal,Congress,55,55
Melanie D'Arrigo,U.S. House New York District 3,Democratic Party,Federal,Congress,76,76
Melissa Mark-Viverito,U.S. House New York District 15,Democratic Party,Federal,Congress,89,89
Melquiades Gagarin,U.S. House New York District 6,Democratic Party,Federal,Congress,76,76
Michael Franken,U.S. Senate Iowa,Democratic Party,Federal,State,439,439
Michael Lipetri,U.S. House New York District 2,Republican Party,Federal,Congress,22,22
Michael Owens,U.S. House Georgia District 13,Democratic Party,Federal,Congress,29,29
Michael Waltz,U.S. House Florida District 6,Republican Party,Federal,Congress,62,62
Michelle Caruso-Cabrera,U.S. House New York District 14,Democratic Party,Federal,Congress,11,11
Michelle De La Isla,U.S. House Kansas District 2,Democratic Party,Federal,Congress,124,124
Michelle Ferrigno Warren,U.S. Senate Colorado,Democratic Party,Federal,State,33,33
Mike Broihier,U.S. Senate Kentucky,Democratic Party,Federal,State,105,105
Mike Covert,U.S. House South Carolina District 1,Republican Party,Federal,Congress,16,16
Mike Espy,U.S. Senate Mississippi,Democratic Party,Federal,State,414,414
Mike Garcia,U.S. House California District 25,Republican Party,Federal,Congress,41,41
Mike Ghassali,U.S. House New Jersey District 5,Republican Party,Federal,Congress,11,11
Mike Levin,U.S. House California District 49,Democratic Party,Federal,Congress,138,138
Mike Siegel,U.S. House Texas District 10,Democratic Party,Federal,Congress,1157,1157
Mike Thompson,U.S. House California District 5,Democratic Party,Federal,Congress,40,40
Mikie Sherrill,U.S. House New Jersey District 11,Democratic Party,Federal,Congress,187,187
Mitch McConnell,U.S. Senate Kentucky,Republican Party,Federal,State,678,678
Mondaire Jones,U.S. House New York District 17,Democratic Party,Federal,Congress,173,173
Monika Johnson-Hostler,U.S. House North Carolina District 2,Democratic Party,Federal,Congress,1256,1256
Morgan Harper,U.S. House Ohio District 3,Democratic Party,Federal,Congress,141,141
"Morris ""Moe"" Davis",U.S. House North Carolina District 11,Democratic Party,Federal,Congress,117,117
Nabilah Islam,U.S. House Georgia District 7,Democratic Party,Federal,Congress,525,525
Nancy Mace,U.S. House South Carolina District 1,Republican Party,Federal,Congress,166,166
Nancy Pelosi,U.S. House California District 12,Democratic Party,Federal,Congress,399,399
Nick Freitas,U.S. House Virginia District 7,Republican Party,Federal,Congress,595,595
Nick Rubando,U.S. House Ohio District 5,Democratic Party,Federal,Congress,41,41
Nicole Malliotakis,U.S. House New York District 11,Republican Party,Federal,Congress,158,158
Nikki Foster,U.S. House Ohio District 1,Democratic Party,Federal,Congress,363,363
Nyanza Moore,U.S. House Texas District 22,Democratic Party,Federal,Congress,26,26
Omari Faulkner,U.S. Senate Virginia,Republican Party,Federal,State,44,44
Oz Vazquez,U.S. House Florida District 18,Democratic Party,Federal,Congress,424,424
Pat Hackett,U.S. House Indiana District 2,Democratic Party,Federal,Congress,142,142
Patricia Ackerman,U.S. House Nevada District 2,Democratic Party,Federal,Congress,436,436
Patrick T. McHenry,U.S. House North Carolina District 10,Republican Party,Federal,Congress,55,55
Paulette E. Jordan,U.S. Senate Idaho,Democratic Party,Federal,State,141,141
Perry Gershon,U.S. House New York District 1,Democratic Party,Federal,Congress,59,59
Pete Stauber,U.S. House Minnesota District 8,Republican Party,Federal,Congress,60,60
Peter DeFazio,U.S. House Oregon District 4,Democratic Party,Federal,Congress,148,148
Peter Meijer,U.S. House Michigan District 3,Republican Party,Federal,Congress,61,61
Peter Visclosky,U.S. House Indiana District 1,Democratic Party,Federal,Congress,109,109
Phil Arballo,U.S. House California District 22,Democratic Party,Federal,Congress,1995,1995
Phil Ehr,U.S. House Florida District 1,Democratic Party,Federal,Congress,135,179
Pramila Jayapal,U.S. House Washington District 7,Democratic Party,Federal,Congress,188,188
Pritesh Gandhi,U.S. House Texas District 10,Democratic Party,Federal,Congress,451,451
Qasim Rashid,U.S. House Virginia District 1,Democratic Party,Federal,Congress,29,29
Quinn Nystrom,U.S. House Minnesota District 8,Democratic Party,Federal,Congress,1752,1752
Rachel Ventura,U.S. House Illinois District 11,Democratic Party,Federal,Congress,50,50
Raja Krishnamoorthi,U.S. House Illinois District 8,Democratic Party,Federal,Congress,195,195
Randi Reed,U.S. House Nevada District 4,Republican Party,Federal,Congress,127,127
Raphael Warnock,U.S. Senate Georgia,Democratic Party,Federal,State,698,698
Raul Reyes Jr.,U.S. House Texas District 23,Republican Party,Federal,Congress,43,43
Raul Ruiz,U.S. House California District 36,Democratic Party,Federal,Congress,182,182
Ray Lenzi,U.S. House Illinois District 12,Democratic Party,Federal,Congress,32,32
Rebecca Parson,U.S. House Washington District 6,Democratic Party,Federal,Congress,155,155
Rebecca Wood,U.S. House Nevada District 4,Republican Party,Federal,Congress,16,16
Renee Hoyos,U.S. House Tennessee District 2,Democratic Party,Federal,Congress,95,95
Renee Unterman,U.S. House Georgia District 7,Republican Party,Federal,Congress,23,23
Rich McCormick,U.S. House Georgia District 7,Republican Party,Federal,Congress,75,75
Richard Habersham,U.S. House New York District 13,Democratic Party,Federal,Congress,12,12
Richard Thripp,U.S. House Florida District 6,Democratic Party,Federal,Congress,15,15
Rick Kennedy,U.S. House Texas District 17,Democratic Party,Federal,Congress,179,179
Rick Laib,U.S. House Illinois District 11,Republican Party,Federal,Congress,28,28
Rik Mehta,U.S. Senate New Jersey,Republican Party,Federal,State,68,68
Rishi Kumar,U.S. House California District 18,Democratic Party,Federal,Congress,181,181
Rita Hart,U.S. House Iowa District 2,Democratic Party,Federal,Congress,309,309
Ritchie Torres,U.S. House New York District 15,Democratic Party,Federal,Congress,115,115
Ro Khanna,U.S. House California District 17,Democratic Party,Federal,Congress,180,180
Rob Jones,U.S. House Virginia District 10,Republican Party,Federal,Congress,42,42
Robert Emmons Jr.,U.S. House Illinois District 1,Democratic Party,Federal,Congress,39,39
"Robert J. ""Rob"" Wittman",U.S. House Virginia District 1,Republican Party,Federal,Congress,38,38
Robert Short,U.S. Senate Wyoming,Republican Party,Federal,State,16,16
Robert T. Schilling,U.S. House Iowa District 2,Republican Party,Federal,Congress,73,73
"Roger Dean ""RD"" Huffstetler",U.S. House Virginia District 5,Democratic Party,Federal,Congress,280,280
Roger Marshall,U.S. Senate Kansas,Republican Party,Federal,State,168,173
Ron Estes,U.S. House Kansas District 4,Republican Party,Federal,Congress,98,98
Ronald Wright,U.S. House Texas District 6,Republican Party,Federal,Congress,38,38
Ronny L. Jackson,U.S. House Texas District 13,Republican Party,Federal,Congress,67,67
Rosemary Becchi,U.S. House New Jersey District 11,Republican Party,Federal,Congress,39,39
Rosemary Becchi,U.S. House New Jersey District 7,Republican Party,Federal,Congress,34,34
Ross LaJeunesse,U.S. Senate Maine,Democratic Party,Federal,State,71,71
Ruben Gallego,U.S. House Arizona District 7,Democratic Party,Federal,Congress,254,254
Ruben Rodriguez,U.S. House Connecticut District 5,Republican Party,Federal,Congress,301,301
Rudy Soto,U.S. House Idaho District 1,Democratic Party,Federal,Congress,68,68
Rush Darwish,U.S. House Illinois District 3,Democratic Party,Federal,Congress,43,43
Russell Cirincione,U.S. House New Jersey District 6,Democratic Party,Federal,Congress,16,16
Salud Carbajal,U.S. House California District 24,Democratic Party,Federal,Congress,44,44
Sam Peters,U.S. House Nevada District 4,Republican Party,Federal,Congress,59,59
Samelys Lopez,U.S. House New York District 15,Democratic Party,Federal,Congress,84,84
Sandy Smith,U.S. House North Carolina District 1,Republican Party,Federal,Congress,107,107
Sanford Bishop Jr.,U.S. House Georgia District 2,Democratic Party,Federal,Congress,128,128
Sara Gideon,U.S. Senate Maine,Democratic Party,Federal,State,2007,2007
Sara Hart Weir,U.S. House Kansas District 3,Republican Party,Federal,Congress,102,102
Sara Jacobs,U.S. House California District 53,Democratic Party,Federal,Congress,181,181
Sarah Gad,U.S. House Illinois District 1,Democratic Party,Federal,Congress,14,14
Sarah Riggs Amico,U.S. Senate Georgia,Democratic Party,Federal,State,223,223
Scherie Murray,U.S. House New York District 14,Republican Party,Federal,Congress,33,33
Scott Cooper,U.S. House North Carolina District 2,Democratic Party,Federal,Congress,1595,1595
Scott Fitzgerald,U.S. House Wisconsin District 5,Republican Party,Federal,Congress,55,55
Scott Perry,U.S. House Pennsylvania District 10,Republican Party,Federal,Congress,21,21
Scott Peters,U.S. House California District 52,Democratic Party,Federal,Congress,208,208
Scott Timko,U.S. House Pennsylvania District 17,Republican Party,Federal,Congress,14,14
Sean Casten,U.S. House Illinois District 6,Democratic Party,Federal,Congress,263,263
Sean Feucht,U.S. House California District 3,Republican Party,Federal,Congress,60,60
Sean Maloney,U.S. House New York District 18,Democratic Party,Federal,Congress,7880,7880
Sean McCaffity,U.S. House Texas District 3,Democratic Party,Federal,Congress,145,145
Sean Parnell,U.S. House Pennsylvania District 17,Republican Party,Federal,Congress,126,126
Shahid Buttar,U.S. House California District 12,Democratic Party,Federal,Congress,157,157
Shane Hernandez,U.S. House Michigan District 10,Republican Party,Federal,Congress,11,11
Shaniyat Chowdhury,U.S. House New York District 5,Democratic Party,Federal,Congress,103,103
Shannon Hutcheson,U.S. House Texas District 10,Democratic Party,Federal,Congress,1000,1000
Sharice Davids,U.S. House Kansas District 3,Democratic Party,Federal,Congress,167,167
Shay Stautz,U.S. House Arizona District 2,Republican Party,Federal,Congress,28,28
Shelia Bryant,U.S. House Maryland District 4,Democratic Party,Federal,Congress,15,15
Shelley Moore Capito,U.S. Senate West Virginia,Republican Party,Federal,State,15,15
Shiva Ayyadurai,U.S. Senate Massachusetts,Republican Party,Federal,State,56,56
Sima Ladjevardian,U.S. House Texas District 2,Democratic Party,Federal,Congress,5856,5857
Solomon Rajput,U.S. House Michigan District 12,Democratic Party,Federal,Congress,159,159
Sri Preston Kulkarni,U.S. House Texas District 22,Democratic Party,Federal,Congress,2558,2570
Stefanie Smith,U.S. House Illinois District 13,Democratic Party,Federal,Congress,13,13
Stephanie Murphy,U.S. House Florida District 7,Democratic Party,Federal,Congress,986,986
Stephanie Schmid,U.S. House New Jersey District 4,Democratic Party,Federal,Congress,22,22
Stephen Daniel,U.S. House Texas District 6,Democratic Party,Federal,Congress,171,171
Steve Bullock,U.S. Senate Montana,Democratic Party,Federal,State,85,85
Steve Chabot,U.S. House Ohio District 1,Republican Party,Federal,Congress,109,109
Steve Daines,U.S. Senate Montana,Republican Party,Federal,State,198,198
Steve King,U.S. House Iowa District 4,Republican Party,Federal,Congress,22,22
Stevens Orozco,U.S. House Texas District 18,Democratic Party,Federal,Congress,14,14
Suraj Patel,U.S. House New York District 12,Democratic Party,Federal,Congress,130,130
Susan Wagle,U.S. Senate Kansas,Republican Party,Federal,State,49,49
Susan Wild,U.S. House Pennsylvania District 7,Democratic Party,Federal,Congress,279,279
Susie Lee,U.S. House Nevada District 3,Democratic Party,Federal,Congress,376,376
Suzanne Bonamici,U.S. House Oregon District 1,Democratic Party,Federal,Congress,107,107
TJ Cox,U.S. House California District 21,Democratic Party,Federal,Congress,1319,1319
Tamara Johnson-Shealey,U.S. Senate Georgia,Democratic Party,Federal,State,64,64
Tawnja Zahradka,U.S. House Minnesota District 6,Democratic Party,Federal,Congress,32,32
Ted Gradel,U.S. House Illinois District 14,Republican Party,Federal,Congress,25,25
Ted Lieu,U.S. House California District 33,Democratic Party,Federal,Congress,108,108
Teddy Daniels,U.S. House Pennsylvania District 8,Republican Party,Federal,Congress,56,56
Tedra Cobb,U.S. House New York District 21,Democratic Party,Federal,Congress,507,507
Teresa Leger Fernandez,U.S. House New Mexico District 3,Democratic Party,Federal,Congress,1042,1042
Teresa Tomlinson,U.S. Senate Georgia,Democratic Party,Federal,State,180,180
Terri Sewell,U.S. House Alabama District 7,Democratic Party,Federal,Congress,26,26
Theresa Greenfield,U.S. Senate Iowa,Democratic Party,Federal,State,1994,1994
Thomas Gilmer,U.S. House Connecticut District 2,Republican Party,Federal,Congress,10,10
Thomas Kean Jr.,U.S. House New Jersey District 7,Republican Party,Federal,Congress,232,232
Thomas McDermott Jr.,U.S. House Indiana District 1,Democratic Party,Federal,Congress,51,51
Tiffany Shedd,U.S. House Arizona District 1,Republican Party,Federal,Congress,117,117
Tim Kelly,U.S. House Michigan District 5,Republican Party,Federal,Congress,12,12
Tina Ramirez,U.S. House Virginia District 7,Republican Party,Federal,Congress,48,48
Tina Smith,U.S. Senate Minnesota,Democratic Party,Federal,State,628,628
Tom Brier,U.S. House Pennsylvania District 10,Democratic Party,Federal,Congress,93,93
Tom Cotton,U.S. Senate Arkansas,Republican Party,Federal,State,37,37
Tom Gallagher,U.S. House California District 12,Democratic Party,Federal,Congress,18,18
Tom O'Halleran,U.S. House Arizona District 1,Democratic Party,Federal,Congress,461,461
Tom Tarter,U.S. Senate Illinois,Republican Party,Federal,State,16,16
Tom Tiffany,U.S. House Wisconsin District 7,Republican Party,Federal,Congress,103,103
Tom Winter,U.S. House Montana At-large District,Democratic Party,Federal,Congress,393,393
Tony Gonzales,U.S. House Texas District 23,Republican Party,Federal,Congress,1295,1295
Tracey Mann,U.S. House Kansas District 1,Republican Party,Federal,Congress,133,133
Tracy Mitrano,U.S. House New York District 23,Democratic Party,Federal,Congress,241,241
Troy Balderson,U.S. House Ohio District 12,Republican Party,Federal,Congress,32,32
Troy Nehls,U.S. House Texas District 22,Republican Party,Federal,Congress,16,16
Usha Reddi,U.S. Senate Kansas,Democratic Party,Federal,State,44,44
Valencia Stovall,U.S. Senate Georgia,Independent,Federal,State,55,55
Valerie Plame,U.S. House New Mexico District 3,Democratic Party,Federal,Congress,718,726
Vennia Francois,U.S. House Florida District 10,Republican Party,Federal,Congress,13,13
Vern Buchanan,U.S. House Florida District 16,Republican Party,Federal,Congress,47,47
Victoria Spartz,U.S. House Indiana District 5,Republican Party,Federal,Congress,44,44
Warren Davidson,U.S. House Ohio District 8,Republican Party,Federal,Congress,24,24
Waymen Eddings,U.S. House Kentucky District 3,Republican Party,Federal,Congress,10,10
Wendy Davis,U.S. House Texas District 21,Democratic Party,Federal,Congress,996,996
Wesley Hunt,U.S. House Texas District 7,Republican Party,Federal,Congress,146,146
William Figlesthaler,U.S. House Florida District 19,Republican Party,Federal,Congress,58,58
William Haston,U.S. House Georgia District 4,Democratic Party,Federal,Congress,17,17
William O'Mara,U.S. House California District 42,Democratic Party,Federal,Congress,63,63
Wilmot Collins,U.S. Senate Montana,Democratic Party,Federal,State,246,246
Xochitl Torres Small,U.S. House New Mexico District 2,Democratic Party,Federal,Congress,448,485
Young Kim,U.S. House California District 39,Republican Party,Federal,Congress,56,56
Yvette D. Clarke,U.S. House New York District 9,Democratic Party,Federal,Congress,180,180
Yvette Herrell,U.S. House New Mexico District 2,Republican Party,Federal,Congress,23,23
Zainab Mohsini,U.S. House Virginia District 11,Democratic Party,Federal,Congress,52,52
Zinovia Spezakis,U.S. House New Jersey District 9,Democratic Party,Federal,Congress,50,50
Zoe Lofgren,U.S. House California District 19,Democratic Party,Federal,Congress,52,52
