,w,corpus_count
382,exactly what,1860
383,Our work,1591
384,ready,39430
385,fight,80168
386,reaching,10037
387,ask,47652
388,your support,50169
389,mobilize,2068
390,going,50320
391,Washington,55212
392,CONTRIBUTE,13200
393,lynching,92
394,last week,3362
395,pass,28575
396,honor,9127
397,ensure,17821
398,justice,9647
399,served,12194
400,asking,19969
401,join,30526
402,sign,29135
403,Friend,37015
404,known,2183
405,the public,1646
406,immediately,48561
407,added,2178
408,your name,18665
409,contribute,15762
410,behalf,3956
411,Add,9101
412,the law,1682
413,PAID,33966
414,SENATE,7664
415,This message,42735
416,EMAIL_REDACTED,86375
417,Contributions,30053
418,gifts,27706
419,Senate,54152
420,deductible,29878
421,federal income tax purposes,5319
422,emails,110378
423,a crucial way,12859
424,stay,42158
425,touch,36804
426,supporters,67825
427,fewer emails,68833
428,Thanks,44589
429,David Perdue,1198
430,yesterday,3674
431,grow,8168
432,Perdue,1252
433,[[URL REDACTED,74377
434,sponsored,1765
435,this year,8426
436,following,6919
437,coronavirus,7623
438,a crime,96
439,led,36713
440,shows,8988
441,this race,22367
442,chip,49070
443,stored,3707
444,process,15459
445,your contribution,6387
446,instantly,7016
447,truly,5223
448,celebrate,2618
449,state,39056
450,Unfortunately,1778
451,pandemic,17910
452,voter suppression,2921
453,represent,23477
454,response,15681
455,grateful,8674
456,means,18487
457,every day,11541
458,continue,30531
459,building,18416
460,flip,41548
461,the voters,2605
462,Congress Alex,4
463,a lot,32225
464,Time,5943
465,ahead,12929
466,beating,5389
467,Like,6234
468,this campaign,16179
469,month,30409
470,Contribute,9430
471,believes,2639
472,care,53030
473,[URL REDACTED,74377
474,supports,1898
475,spent,10171
476,education,6005
477,Election Day,21975
478,strong,25235
479,midnight,25085
480,Thursday,2916
481,count,92510
482,step,28175
483,VOLUNTEER,1643
484,Sent,7985
485,update,53659
486,your email address,23359
487,address,49070
488,receiving,20004
489,Stop,3315
490,a way,1167
491,the police,1313
492,pick,7966
493,knew,3908
494,arrested,204
495,released,3468
496,trying,12347
497,defending,2635
498,improve,2662
499,living,2212
500,understand,14429
501,facing,9400
502,our communities,9429
503,policies,5950
504,actively,953
505,wait,9357
506,shown,3577
507,understands,2257
508,our community,7374
509,our leaders,1150
510,My campaign,752
511,combating,2637
512,love,10045
513,solidarity,2628
514,continues,3791
515,agree,8389
516,live,27205
517,deserves,3183
518,the beginning,1586
519,Rush,15327
520,focused,4543
521,listen,5062
522,our district,5890
523,holding,4620
524,attend,2848
525,your voice,2581
526,heard,8411
527,Sincerely,4935
528,Facebook,34768
529,[[EMAIL_REDACTED]] Update Profile,2
530,Constant Contact,2357
531,collaboration,1076
532,Trusted Email,1877
533,Constant Contact - Try,1877
534,FREE,4769
535,Try,2082
536,email marketing,1931
537,free today,1931
538,House Democrats,1154
539,impeach,3877
540,leading,8512
541,a vote,3812
542,Kansans,769
543,silence,1590
544,silent,894
545,Sign,10388
546,the petition,1426
547,Nancy Pelosi,6319
548,Chuck Schumer,3196
549,my campaign,9058
550,Stand,3071
551,our values,5323
552,This email,37756
553,Check,3463
554,expose,1947
555,the truth,4904
556,the general election,2934
557,went,3439
558,gets,6064
559,instead,7717
560,adding,1077
561,police officers,637
562,the air,5539
563,this message,26985
564,took,4180
565,California,7433
566,returned,751
567,earned,5424
568,China,1065
569,protect,33833
570,the fight,9967
571,Help,12386
572,All rights,6751
573,reserved,7486
574,this email,30221
575,opted,3137
576,our website,3933
577,Our mailing address,5835
578,your address book,3817
579,Want,9577
580,these emails,12773
581,your preferences,7552
582,this list,7523
583,Email Marketing Powered,2544
584,View,5348
585,your browser,4189
586,truth,7952
587,matters,7564
588,moved,2316
589,fought,7567
590,died,978
591,simple,3617
592,putting,8248
593,remember,3613
594,this nation,6575
595,united,1023
596,individuals,4170
597,service,8852
598,mean,29995
599,murdered,269
600,important,57696
601,evidence,1086
602,includes,1917
603,talking,3431
604,family,15496
605,friends,9918
606,supported,1640
607,personally,12781
608,showed,3419
609,Social Security,7563
610,children,7119
611,our children,1629
612,ran,56537
613,close,28051
614,prosecuted,58
615,serves,5100
616,represents,3537
617,allowed,1691
618,investigating,143
619,the U.S. Congress,2421
620,Mailchimp,2550
621,the House,15147
622,impeachment,2993
623,the United States Senate,2055
624,our President,1407
625,killed,1010
626,the time,13122
627,hold,18677
628,goes,4731
629,gain,58374
630,control,11278
631,working,51004
632,years,20389
633,harder,3047
634,alongside,3304
635,currently,3133
636,Texas,21322
637,red,78965
638,ignore,3301
639,victims,341
640,keeping,5427
641,included,1084
642,anti,6792
643,questions,6033
644,ignoring,698
645,Kelly,4908
646,accountable,5610
647,refused,1751
648,began,1612
649,find,8022
650,sit,48494
651,confident,2037
652,publicly,1140
653,serving,6198
654,look,21471
655,found,5787
656,hiding,366
657,Texans,5801
658,turned,2690
